Razão_Social;geom;Data_de_Ativação
MAANAIM DISTRIBUIDORA DE GÁS;-42.9881668,-22.877997000000008;12/2008
MACATIN COMERCIO DE GAS LIQUEFEITO DE PETRÓLEO LTDA - ME;-44.4883986,-22.489065100000005;09/2011
MACEDO & MANHAES POSTO DE GASOLINA LTDA - ME;-41.0631931,-21.578463900000013;07/2013
MACEDO BELMIRO COMERCIO DE GAS LTDA.;-41.351461699999994,-21.748272700000005;01/2010
MADRUGADÃO POSTO DE SERVIÇOS LTDA.;-44.0684177,-22.59251670000002;12/2005
MÃE E FILHO REVENDA DE GÁS LTDA.;-43.055832800000005,-22.825032299999997;11/2009
MAGARÇA GÁS LTDA -ME;-43.604955399999994,-22.95038120000001;09/2009
MAGE PREFEITURA;-43.1899052,-22.602516100000017;12/2013
MAGMA POSTO DE REVENDA DE GAS LP LTDA-ME;-42.9775927,-22.816040400000002;11/2010
MAGUILA COMÉRCIO E TRANSPORTE DE GÁS LTDA.;-43.20902329999999,-22.612502000000013;05/2010
MAIS GÁS - COMÉRCIO E DISTRIBUIÇÃO DE GÁS GLP LTDA.;-42.52006060000001,-22.233853700000008;08/2010
MAIS GAS COMERCIO LOGISTICA & SERVIÇOS LTDA ME.;-41.349459,-21.748903200000015;01/2011
MAIS GAS COMERCIO LTDA.;-43.2250381,-22.967371700000008;07/2010
MAIS PRESSÃO COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO LTDA - EPP;-43.240683300000015,-22.646191999999996;06/2012
Maismix Ltda;-43.4550737,-22.98806480000002;08/2010
Maismix Ltda;-43.2240289,-22.87727620000001;12/2013
MAKRO ATACADISTA S/A.;-43.2764089,-22.8136251;10/2004
MAKRO ATACADISTA S/A.;-43.003621100000004,-22.830910899999996;10/2004
Maloriente Concreteira;-42.3598985,-22.809587400000016;12/2011
MALUROS COM.DE GÁS E TRANSPORTE LTDA;-43.47718220000001,-22.895359300000017;09/2008
MAMEDES DISTRIBUIDORA DE GAS LTDA ME;-43.385563700000006,-22.770403599999998;02/2009
MAN Latin America Industria e Comércio de veículos Ltda;-44.3512775,-22.426083500000004;03/2012
MANANCIAL DE MESQUITA COMÉRCIO DE GÁS LTDA.;-43.41263850000001,-22.777740600000016;10/2009
MANASSES DISTRIBUIDORA DE GÁS LTDA;-43.2741205,-22.648515400000015;10/2010
MANASSES E EFRAIM COMÉRCIO DE GÁS LTDA;-42.650477500000015,-22.456601099999997;03/2005
MANHAES MACHADO COMÉRCIO DE GÁS LTDA;-41.33194989999999,-21.77673760000002;11/2011
MANO - REVENDEDORA E DISTRIBUIDORA DE GÁS LTDA;-43.2686341,-22.891897500000024;10/2010
MANOEL DA SILVA NUNES REVENDA DE GÁS;-43.0515276,-22.813341699999995;12/2009
MANOEL MARTINS COMÉRCIO DE GÁS LTDA.;-41.31160810000001,-21.770780300000006;03/2010
MANTUANO COMÉRCIO DE GÁS LTDA. ME.;-43.1375214,-22.416192499999998;04/2010
MANTUANO COMÉRCIO DE GÁS LTDA. ME.;-42.9492522,-22.437605300000005;05/2010
MAP DISTRIBUIDORA DE GÁS LTDA;-42.9435447,-22.858293500000002;10/2009
MARBELA DISTRIBUIDORA DE BEBIDAS LTDA;-42.11995000000002,-22.82714700000001;01/2011
MARCEL LITORAL - REVENDA DE GAS LTDA - ME.;-43.39813989999999,-22.914828200000002;01/2010
MARCELO AUGUSTO PINTO REV DE GAS;-43.3783811,-22.838874800000013;11/2008
MARCELO LAGE ANDRADE ME;-42.200503,-21.415034400000003;01/2009
MARCELO O DA M. DOMINGOS FORTE GAS - ME;-43.35133489999999,-22.717232300000013;11/2014
MARCHESE COMÉRCIO DE GÁS LTDA. - ME.;-42.9261781,-22.317308900000008;10/2008
MARCIAL REVENDEDORA DE GAS LTDA - ME;-43.3014509,-22.812468000000006;06/2014
MARCIO M. CABRAL COMERCIO DE GAS LTDA.;-43.25137459999999,-22.86163319999999;04/2010
MARCIA DE JESUS DOS SANTOS COMÉRCIO DE GÁS;-43.04784400000001,-22.87541530000001;07/2010
MARCLAU COMERCIO DE COMBUSTIVEIS LTDA;-43.1013515005824,-22.853887348960768;10/2004
MARCO AURELIO DE SOUZA DISTRIBUIDORA DE GAS ME;-43.437035200000004,-22.892505200000002;04/2012
MARCOS AURELIO GOMES FERREIRA ME;-43.41008500000001,-22.766044400000016;12/2010
MARCOS BORGES SALOMÃO - ME;-44.00257190000001,-22.517705300000014;11/2008
MARCOS BORGES SALOMÃO - ME;-43.9925316,-22.519119900000003;12/2009
MARCOS R DOS ANJOS REVENDEDORA DE GAS - ME;-42.90457469999999,-22.97112900000001;12/2008
MARCUS V. B. F. DE SOUZA -ME;-43.69145949999999,-22.59732990000001;01/2011
MARCUS V. DE O. COSCARELLA;-44.0853266,-22.514078200000014;06/2010
MAREVE DISTRIBUIDORA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA - ME;-43.76701380000001,-22.823254100000007;08/2013
MARGARETE V M COMÉRCIO DE GÁS LTDA;-43.6880955,-22.969665900000013;12/2011
 MARGARIDA DE RIO CLARO AUTO POSTO LTDA;-44.13420610000001,-22.72594730000001;09/2004
 MARGARIDA DE RIO CLARO AUTO POSTO LTDA;-44.08501080000002,-22.66932560000002;09/2004
MARIA APARECIDA SILVA AVELINO COMÉRCIO DE GAZ ME;-44.1529236,-22.555192000000005;06/2009
MARIA ARAUJO DA SILVA ME;-43.367701499999995,-22.76908370000001;05/2010
MARIA HELENA DA SILVA MATTOS - ME;-41.98782390000001,-21.033328700000002;12/2008
MARIA LUCIA OLIVEIRA DO AMARAL;-43.6633986,-22.405301800000007;09/2004
MARIA LUCIA OLIVEIRA DO AMARAL;-43.3988729,-22.8317127;10/2004
MARIA P. A. DIAS COMÉRCIO VAREJISTA DE GÁS ME.;-43.315977999999994,-22.723390900000016;01/2010
MARICÁ GÁS REVENDEDORA LTDA ME;-42.8127851,-22.917411800000014;02/2010
MARINA F. SOUZA DISTRIB. DE GAS ME;-44.164166400000006,-22.539866800000024;02/2010
MARINA FRADE DE ANGRA LTDA.;-44.43733749999999,-22.966355599999996;05/2008
MATAGAL AUTO POSTO LTDA;-43.82788000000001,-22.464642099999995;10/2004
MARINA PORTO VELEIRO DE BUZIOS EMPREENDIMENTOS LTDA.;-41.88193749999999,-22.747062100000004;09/2004
MARINHO EXPRESSO GAS LTDA;-43.37743230000001,-22.796485100000012;11/2010
MARINHO GÁS E ÁGUA LTDA;-43.427881,-22.77130930000001;07/2011
MARITHY COMERCIO E DISTRIBUIÇÃO DE GLP LTDA.;-41.9355602,-22.521765300000002;10/2011
MARÍTIMO DE NITERÓI POSTO DE COMBUSTÍVEL LTDA.;-43.33457550000001,-22.882375400000008;08/2009
MARLUS DISTRIBUIDORA DE GAS LTDA EPP;-43.3294682,-22.843412200000003;02/2010
MARQUES REVENDEDORA DE GLP LTDA. ME.;-43.0055401,-22.797230500000012;02/2010
MARQUES' S PETER AUTO POSTO LTDA.;-43.30345079999999,-22.892653300000003;05/2006
MARQUESAO POSTO AUTO SERVICO LTDA;-43.225876500000005,-22.92016280000001;10/2004
MARRIED COMERCIO DE GAS LTDA ME.;-44.10568129999999,-22.50016050000001;03/2010
MARTA DE JESUS F. DE SILVA COM.DE GÁS - ME;-41.9888527,-21.03258530000001;07/2007
MARTA M DE SOUZA COMERCIO DE GAS ME.;-43.321332800000015,-22.719852799999995;08/2010
MARTA MARIA CHAVES FARIAS;-42.989908,-22.040365300000012;08/2010
MARTHA DA SILVA GARCIA - ME;-42.70955370000001,-22.096966100000007;07/2011
MARTINS E DEMIATE GÁS E ÁGUA LTDA.;-42.03882539999999,-20.96445040000001;12/2008
MARTINS E RISCADO NETO COMBUSTÍVEIS LTDA;-41.0450829,-21.635404800000018;10/2004
MARTINS E SOUZA DISTRIBUIDORA DE GÁS LTDA - ME;-43.1350953,-22.708443500000016;07/2013
MASTER FRIBURGO COMERCIAL LTDA.;-42.5459745,-22.2541175;12/2007
MASTER FRIBURGO COMERCIAL LTDA.;-42.2492655,-21.977291200000003;08/2013
MASTER GAS ARARUAMA COMERCIO DE GAS LTDA - ME.;-42.3246786,-22.8518151;07/2014
MASTER TRANSPORTES COLETIVOS DE PASSAGEIROS LTDA;-43.354866000000015,-22.7670065;12/2011
MASTER 25 DE TERESOPOLIS COMÉRCIO DE GÁS LTDA.;-42.94926360000001,-22.407829099999994;02/2010
MATARUNA AUTO POSTO LTDA.;-42.3336313,-22.86361920000001;10/2004
MATO ALTO DEPOSITO DE GAS LTDA ME;-43.5761527,-22.939708400000008;03/2012
MATRIC REVENDEDORA DE GAS LTDA-ME;-43.5947941,-22.879119299999996;08/2006
MATTAR E MATTAR AUTO POSTO LTDA;-43.415082500000004,-23.00107900000001;10/2004
MAURIANA - COMÉRCIO DE ÁGUA E GÁS LTDA - ME;-44.4513347,-22.47096590000002;04/2006
MAX GAS GUAPI COMERCIO DE GAS LP LTDA - ME;-42.9784355,-22.527662600000014;09/2014
MAX MIX DE TERESOPOLIS COMERCIO E REPRESENTAÇOES LTDA;-42.97522060000001,-22.41859450000002;09/2004
MAYARA COMERCIO DE GENEROS ALIMENTOS LTDA;-42.03114299999999,-22.862764899999995;01/2011
MAZAEL COMÉRCIO DE GÁS LTDA;-43.4487654,-22.870590800000002;02/2011
MC COMERCIO DE TRANSPORTE DE GAS LTDA ME.;-43.3432895,-22.844173199999997;06/2010
M&C POSTO DE REVENDA DE GAS LP LTDA - ME;-42.9748352,-22.799129400000016;03/2010
MCM COMBUSTÍVEIS LTDA.;-41.88701639999999,-21.209058300000013;08/2006
MCM COMBUSTÍVEIS LTDA.;-41.663582500000004,-21.141972600000006;08/2006
M.C.S.S FREITAS COMBUSTÍVEIS;-41.181307800000006,-22.01791010000002;09/2004
MD ALMEIDA MENDES COSTA REVENDEDORA DE GAS ME;-43.00268119999999,-22.7933849;02/2012
MDC AGREGADOS LTDA.;-43.22929230000001,-22.61752700000001;11/2009
ME DA SILVEIRA PAIM;-43.03698,-22.66779630000001;08/2010
MECANORTE Construções e Empreendimentos LTDA;-41.3153446,-21.61667620000001;06/2012
MEGAO 7 POSTO DE SERVIÇOS LTDA ME;-42.53407959999999,-22.288726100000012;09/2004
MEGATRON AUTO POSTO LTDA;-43.03983450000001,-22.656602200000012;07/2010
MATA VIRGEM AUTO SERVIÇO LTDA;-43.40889850000001,-22.769517000000008;09/2004
MEIRELES E NOVAES AUTO POSTO LTDA.;-44.43160180000001,-22.4527121;12/2008
MEIRELLES E BARROS LOGISTICA LTDA;-43.2775729,-22.81558130000002;10/2014
MEME COMERCIO DE GAS LTDA.;-43.6744163,-22.862420600000004;03/2010
MENDES E GOES COMÉRCIO DE GÁS LTDA;-43.555311700000004,-22.7025397;05/2011
MENDES E OLIVEIRA DISTRIBUIDORA DE GÁS LTDA;-42.5950481,-22.864030900000003;09/2009
MENDONÇA & PIRES COMÉRCIO DE GÁS LTDA.;-44.3077772,-23.00043560000001;06/2008
MENEZES SODRE COMERCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA;-41.2912343,-21.826103500000006;07/2010
MENSAGEIRO DA PAZ COMÉRCIO DE GÁS LTDA.;-43.1698554,-22.614948700000014;03/2010
MENSAGEIRO DA PAZ COMÉRCIO DE GÁS LTDA.;-43.3642645,-22.806435100000016;07/2010
MERCALUB ABASTECEDORA LTDA;-43.08257209999999,-22.268251200000016;10/2004
MERCANTIL ESTRELA POSTOS DE GASOLINA E SERVIÇOS LTDA.;-43.2065961,-22.92515190000002;10/2004
MERKATUDO DO GAS GLP LTDA - ME.;-43.641811,-22.802698600000014;04/2012
METAGÁS COMÉRCIO E DISTRIBUIDORA DE GÁS;-43.396943400000005,-22.7596252;03/2010
METANAUTO POSTO DE COMBUSTÍVEIS LTDA;-43.4253154,-22.79071340000002;09/2004
METANAUTO POSTO DE COMBUSTÍVEIS LTDA;-43.4124801,-22.78683210000001;09/2004
METRAL EMPRESA DE TRANSPORTES LTDA;-43.486312600000005,-22.85485900000001;11/2012
MEU POSTO GASOLINA E SERVIÇOS LTDA.;-43.039949699999994,-22.82109730000001;10/2004
M.F. DA SILVA COMÉRCIO DE GÁS LIQUEFEITO DE PETRÓLEO;-42.103001199999994,-22.843359899999996;12/2009
MF.MF.DE OLIV COM VAREJ DE GAS LIQ PET;-43.4063825,-22.724498599999997;01/2009
MG COMERCIO DE GAS LP LTDA - ME;-43.08918070000002,-22.846519600000004;03/2013
MGV COMERCIO DE DERIVADOS DE PETROLEO LTDA.;-43.47410369999999,-22.886138499999998;08/2011
NOAYO TRANSPORTES E SEVIÇOS LTDA;-43.321680400000005,-23.002799000000003;02/2011
MH LUCAS COMERCIO DE GAS LTDA;-42.63862199999999,-22.713038999999995;04/2010
MIAG COMÉRCIO DE GÁS LTDA.;-42.8472048,-22.915785000000014;04/2010
MIG GAS LTDA - ME;-43.79555700000001,-22.872728299999995;07/2013
MINAS RIO COMERCIO DE EMBALAGEM LIMITADA ME;-42.12982730000002,-22.830984500000007;03/2011
MINAS VELHA COMERCIO DE DERIVADOS DE PETROLEO LTDA.;-42.3336313,-22.86361920000001;09/2009
MINEIRO DE CABO FRIO COMÉRCIO DE COMBUSTÍVEIS LTDA.;-42.0404027,-22.895601499999998;11/2005
MINERAÇÃO LITORÂNEA SA;-42.067409200000014,-22.824479800000002;11/2013
Mineração Santa Joana;-42.8245961,-22.9339527;08/2009
Mineraçao Santa Luzia de Itaguai ltda;-43.7779091,-22.863192299999998;07/2008
MINERAÇÃO SPAR;-42.85736630000002,-22.921344800000018;09/2009
MINISTRO GÁS COMÉRCIO E DISTRIBUIDORA LTDA;-43.46504560000001,-22.86635379999999;01/2012
MIP DE MELO COMÉRCIO E SERVIÇOS ME;-41.39708739999999,-21.810202200000013;07/2010
MIRACEMA DO NOROESTE POSTO DE GASOLINA LTDA.;-42.19281970000001,-21.41227780000001;06/2006
MISSÃO DISTRIBUIDORA DE GÁS LTDA;-43.420936000000005,-22.81675750000001;03/2009
MISTER DE TERESOPOLIS COMÉRCIO DE GÁS LTDA. - ME.;-42.91684680000001,-22.38361650000001;05/2011
MISTER GÁS COMÉRCIO E TRANSPORTE LTDA.;-43.6591715,-22.652184500000004;03/2008
M.J.DOS SANTOS SILVA-ME;-43.2152613,-22.62212810000001;05/2010
M.L.M. MACEDO REVENDEDORA DE GAS LTDA ME.;-43.6867813,-22.933492200000014;11/2011
M.M. AUTO SERVIÇO DE COMBUSTÍVEIS LTDA.;-42.6803454609254,-22.715884452111762;01/2010
MMS COMERCIO DE GAS LTDA ME;-42.47369239999999,-22.89500730000001;08/2012
M.H.D.L. COMÉRCIO E DISTRIBUIDORA DE GÁS LTDA.;-43.44199700000001,-22.750312400000013;08/2007
MOCIDADE COMÉRCIO DE GÁS LTDA.;-43.44829510000001,-22.865053200000006;11/2008
MOINHO COMÉRCIO VAREJISTA DE GÁS LTDA.;-43.550068700000004,-22.917225200000004;10/2009
MOISES DE OLIVEIRA LINHARES DISTRIBUIDORA DE GAS ME;-43.3657593,-22.773626300000004;05/2011
MONNERAT COMÉRCIO DE GÁS LTDA.;-43.44534320000001,-22.888255800000017;10/2010
MONSUABA DE ANGRA COMÉRCIO E DISTRIBUIDORA DE GÁS LTDA;-44.2212505,-23.01156750000001;01/2011
MONTE GIREZIM COMERCIO DE GAS LTDA ME.;-43.841271500000005,-22.895689300000008;03/2012
MONTE SIAO REVENDA DE GLP LTDA;-43.265452800000006,-22.6359159;11/2012
MONTE SINAI COMÉRCIO E REVENDEDORA DE GÁS LTDA.;-43.4381015,-22.803012599999995;11/2009
MONTEIRO  E MENDONÇA;-42.03811600000001,-20.961844599999996;06/2008
MONTEIRO AUTO POSTO DE GASOLINA LTDA;-41.10916939999999,-21.4758779;10/2004
MONTOUZA COMERCIO DE COMBUSTIVEIS LTDA;-41.32447580000001,-21.777130000000003;10/2004
MORABI GAS DO BRASIL COMERCIO E TRANSPORTE RODOVIARIO DE GAS LTDA;-43.2312716,-22.649696900000002;12/2010
MORAES E SILVA LTDA;-41.9568688,-20.93041740000002;10/2004
