Razão_Social;geom;Data_de_Ativação
POSTO DE SERVIÇO MARECHAL MASCARENHAS DE MORAES LTDA;-43.3978056,-22.863668100000012;10/2004
POSTO DE SERVIÇO NINO S LTDA;-43.1823496,-22.504778500000004;10/2004
POSTO DE SERVIÇO SOUZA E FARIA LTDA.;-42.982438,-22.0307401;10/2004
POSTO DE SERVIÇO 3D DA ANTA LTDA.;-42.9209208,-21.997518600000014;01/2008
POSTO DE SERVIÇOS ALIANÇA DE CAMPO GRANDE LTDA;-43.52316280000001,-22.8896798;01/2005
POSTO DE SERVIÇOS BIG AÇO LTDA;-44.0861189,-22.511378899999993;09/2004
POSTO DE SERVIÇOS BIG DUTRA LTDA;-43.6792437,-22.72172890000002;10/2004
POSTO DE SERVIÇOS COSTA MELLO LTDA.;-43.2380848,-22.021891199999995;10/2004
POSTO DE SERVIÇOS DE AUTOMÓVEIS KON TIKI LTDA.;-43.35416659999999,-22.928797800000005;10/2004
POSTO DE SERVIÇOS DENGOSO LTDA;-43.5660707,-22.909142700000015;09/2004
POSTO DE SERVIÇOS E GARAGEM N. SENHORA DE LOURDES LTDA;-43.2809072,-22.8444319;10/2004
POSTO DE SERVIÇOS FREIXEDENSE LTDA;-43.3706357,-22.855394300000004;10/2004
POSTO DE SERVIÇOS GEREMARIO DANTAS DE JACAREPAGUA LTDA;-43.3558674,-22.926850200000008;01/2005
POSTO DE SERVIÇOS GRANDE ALIANÇA LTDA.;-43.5546518,-22.898602800000017;08/2006
POSTO DE SERVIÇOS KIM LTDA;-43.3118585,-22.839614700000006;10/2004
POSTO DE SERVIÇOS MANDA BRASA LTDA;-43.3040443,-22.791703099999992;01/2013
POSTO DE SERVICOS MURAO LTDA;-43.7083439,-22.22942;10/2004
POSTO DE SERVIÇOS NOVO RIO DE CAMPO GRANDE LTDA.;-43.5439255,-22.901183500000013;03/2009
POSTO DE SERVIÇOS QUITUNGO LTDA.;-43.315724700000004,-22.84091140000001;10/2004
POSTO DE SERVIÇOS ROMÂNTICO LTDA;-43.4021719,-22.884800800000004;09/2004
POSTO DE SERVICOS SAO SALVADOR LTDA;-41.268329400000006,-21.832263499999996;10/2004
POSTO DE SERVICOS SAO SALVADOR LTDA;-41.302345800000005,-21.72791920000001;10/2004
POSTO DE SERVICOS SILVA BRITO LTDA;-41.76033569999999,-21.641284100000014;09/2004
POSTO DE SERVIÇOS VIA 8 LTDA;-43.38080830000001,-22.957989000000023;10/2004
POSTO DE SERVIÇOS WEST SHOPPING LTDA;-43.54096079999999,-22.8798455;10/2004
POSTO DIAMETRAL LTDA;-43.34993920000001,-22.82965010000001;10/2004
POSTO DIANA DE ITACURUÇA LTDA.;-44.16551410000001,-23.031861300000017;09/2005
POSTO DIVINA LUZ DE ANCHIETA LTDA;-43.4045483,-22.8228447;10/2004
POSTO DIVISA COMERCIO E TRANSPORTES LTDA;-43.3284935,-22.7944692;09/2004
POSTO DIVISA DE MESQUITA LTDA;-43.408567000000005,-22.780125899999998;11/2011
POSTO DO BOSQUE LTDA;-41.96885970000001,-22.525444400000016;10/2004
POSTO DO CABO LTDA;-42.05109600000001,-22.879076300000005;10/2004
POSTO DO CANHÃO LTDA.;-41.0729964,-21.49773000000002;03/2012
POSTO DO CONTORNO LTDA;-43.262202900000005,-22.556714800000016;10/2004
POSTO DO RUSSO LTDA;-41.3971197,-21.809496100000022;10/2004
POSTO DO TININHO LTDA;-42.9283393,-22.155340799999998;10/2004
POSTO DOIS LTDA ME;-43.580167499999995,-22.913407100000022;01/2010
POSTO DONA LEOPOLDINA LIMITADA;-43.67762739999999,-22.54974900000001;10/2009
POSTO DOS MOTORISTAS COMÉRCIO DE COMBUSTÍVEIS LTDA;-42.8161123,-22.9163834;10/2004
POSTO DOS PESCADORES LTDA.;-44.31369469999999,-23.008318400000014;08/2009
POSTO DOS SANTOS REIS LTDA.;-44.531764499999994,-23.006274200000018;10/2004
POSTO DUAS COLUNAS LTDA.;-43.200102900000005,-22.1154333;09/2004
POSTO DUAS COLUNAS LTDA.;-43.200102900000005,-22.1154333;09/2011
POSTO E AUTO SERVIÇO INSULANO LTDA.;-43.187425700000006,-22.798780999999995;02/2007
POSTO E ESTACIONAMENTO ERMITAGE LTDA;-42.956980200000004,-22.410368100000007;10/2004
POSTO E GARAGE LINS LTDA.;-43.28406050000001,-22.910508800000006;10/2004
POSTO E GARAGE LISBOA LTDA;-43.2783924,-22.87344560000001;10/2004
POSTO E GARAGE LUANDA LTDA;-43.2575592,-22.923553500000004;10/2004
POSTO E GARAGE MAIOR DA PRAÇA LTDA.;-43.3531432,-22.89902190000002;10/2004
POSTO E GARAGE VILA NOVA DE PAIVA LTDA;-43.2877772,-22.909583700000006;10/2004
POSTO E GARAGE VILA REAL LTDA;-43.2992808,-22.841963599999993;10/2004
POSTO E GARAGEM ALERTA LTDA;-43.22625890000001,-22.894737700000004;10/2004
POSTO E GARAGEM AMIGO REI LTDA;-43.32118830000001,-22.878842100000014;10/2004
POSTO DRL LTDA.;-43.0161245,-22.930293;12/2006
POSTO DOURO LITORAL LTDA;-43.42535259999999,-22.674977400000003;10/2004
POSTO E GARAGEM CONQUISTA LTDA.;-43.2646132,-22.873556600000004;10/2011
POSTO E GARAGEM DAS NAÇÕES LTDA.;-43.255564200000016,-22.866309300000008;10/2004
POSTO E GARAGEM DOM HELDER CAMARA LTDA;-43.2765524,-22.884052399999998;10/2004
POSTO E GARAGEM DOS MENINOS LTDA.;-43.3081265,-22.896179999999994;10/2004
POSTO E GARAGEM ESTRELA DO MATOSO LTDA;-43.2125562,-22.915263100000008;09/2004
POSTO E GARAGEM PÉROLA LTDA;-43.2285551,-22.89434850000002;10/2004
POSTO E GARAGEM RAJA DE CASCADURA LTDA;-43.323099700000014,-22.89263410000001;09/2004
POSTO E GARAGEM RIO MONDEGO LTDA.;-43.2433294,-22.9301806;09/2004
POSTO E GARAGEM SAO JORGE DO RIO LTDA;-43.27733430000001,-22.88575219999999;10/2004
POSTO E GARAGEM SAO JOSE DO GRAJAU LTDA;-43.2534034,-22.919064600000013;10/2004
POSTO E GARAGEM TRAS OS MONTES LTDA;-43.263712200000015,-22.8501357;09/2004
POSTO E GARAGEM TRES PASTORINHOS LTDA;-43.2380865,-22.91110370000001;10/2004
POSTO E GARAGEM VENEZA LTDA;-43.27502630000001,-22.8419751;10/2004
POSTO E GARAGEM 902 LTDA;-43.178788700000005,-22.795599300000013;10/2004
POSTO E LANCHONETE DOS MENINOS LTDA.;-42.6841075,-22.52986870000001;08/2005
POSTO E LANCHONETE XODO DO PAPAI LTDA;-43.2853998,-22.786552800000006;10/2004
POSTO E SERVIÇO DOIS IRMÃOS DE RESENDE LTDA.;-44.486186,-22.479076400000004;08/2005
POSTO E SERVICO SOUZA E SOUZA LTDA;-42.990705,-22.039942600000018;10/2004
POSTO E SERVIÇOS ALTO DO CHAFRE LTDA - ME;-43.7002352,-22.5383909;10/2004
POSTO E SERVIÇOS DIMANCHES LTDA;-43.376096700000005,-22.953402200000014;10/2004
POSTO E SERVIÇOS MAPUÁ LTDA;-43.3871969,-22.924774700000007;10/2004
POSTO EBENEZER LTDA;-42.2575753,-22.863233400000016;08/2009
POSTO EDCAR LTDA;-41.66170139999999,-22.188894800000007;10/2004
POSTO EMBAIXADOR LTDA.;-44.40688620000002,-22.456814500000014;10/2004
POSTO ESTACAO DE TERESOPOLIS SERVICOS LTDA;-44.1345393,-22.51639859999999;10/2004
PROSEGUR BRASIL S.A;-43.2174346,-22.8953702;06/2012
POSTO ESTACIO LTDA;-43.20466969999999,-22.914244900000007;08/2006
POSTO ESTADUAL DE PÁDUA LTDA;-42.183559200000005,-21.5415319;09/2004
POSTO ESTRADA DE PACHECO LTDA;-42.9715468,-22.824058000000008;10/2004
POSTO ESTRADA VIA BARRA LTDA.;-43.5662664,-22.950402700000005;10/2004
POSTO ESTRELA DO MAR LTDA;-42.103001199999994,-22.843359899999996;10/2004
POSTO ESTRELA GUIA DA TAQUARA LTDA;-43.3644716,-22.807058700000013;10/2004
POSTO EXTREMO NORTE LTDA;-41.9568688,-20.93041740000002;10/2004
POSTO F M DA BRASIL LTDA;-43.29366689999999,-22.814299700000003;03/2008
POSTO F M DA DUTRA LTDA;-43.40033350000001,-22.774196500000013;10/2004
POSTO FAZENDA BOSQUE ENCANTADO LTDA;-41.97951460000001,-22.526284300000004;10/2004
POSTO FIEL DA ESTRADA LTDA.;-43.33701930000001,-22.82949180000001;10/2004
POSTO FIEL DA ESTRADA LTDA.;-43.33701930000001,-22.82949180000001;10/2004
POSTO FLAMBOYANT DE CAMPOS LTDA;-41.30762440000001,-21.766692600000017;10/2004
POSTO FLUMIDIESEL LTDA;-44.20383009999999,-22.521518800000003;10/2004
POSTO FÓRMULA CAMPESTRE LTDA.;-44.12248829999999,-22.559785400000017;01/2005
POSTO FRAGOSO LTDA;-43.185160399999994,-22.574993700000004;10/2004
POSTO G MARCUS COMÉRCIO DE COMBUSTÍVEIS LTDA.;-42.19256301127066,-22.475885443808053;05/2009
POSTO F M DA PRATA LTDA.;-43.4370627,-22.75787470000002;09/2010
POSTO GAIVOTA LTDA;-42.98127890000001,-22.955386099999995;10/2004
POSTO GALERA DE VILA ROSÁRIO LTDA;-43.30996739999999,-22.790405600000007;10/2004
POSTO GARAGEM NOVO MODELO LTDA;-43.2536382,-22.859511499999993;01/2010
POSTO GARRAFAO LTDA;-43.0095909,-22.575606700000012;10/2004
POSTO GÁS GÁS DE DUAS PEDRAS COM. DE COMB.E LUBR. LTDA.;-42.5317944,-22.26715760000002;08/2007
POSTO GASOLINA EST. BANDEIRANTES VARGEM PEQUENA LTDA.;-43.4555201,-22.987765900000007;08/2006
POSTO GASOLINA MARAJOARA LTDA;-43.6230364,-22.730720100000006;10/2004
POSTO GASTOTAL LTDA;-43.36101920000001,-22.918214000000013;10/2004
POSTO GIGANTE DA DUTRA LTDA;-43.3224396,-22.817175700000014;10/2004
POSTO GIRASSOL LTDA;-43.0637646,-22.827288300000014;10/2004
POSTO GNV SELEÇÃO LTDA.;-43.1932855,-22.907153300000008;11/2010
POSTO GOLFINHO DE MARICÁ LTDA;-43.0173615,-22.964674999999996;09/2004
POSTO GRAN CENTER 10 LTDA;-42.538630999999995,-22.31143080000001;01/2005
POSTO GRANDE OESTE LTDA;-43.55021310000001,-22.865354500000006;10/2004
POSTO H B LTDA;-42.6358076,-22.713808599999993;10/2004
POSTO HADOCK LOBO LTDA;-43.2129963,-22.918756700000014;10/2004
POSTO HAWAI LUBRIFICAÇÃO LTDA.;-43.2098007,-22.804959599999997;10/2004
POSTO HELOX LTDA;-43.0114519,-22.6438055;04/2013
POSTO HILÁRIO DE GOUVEIA LTDA.;-43.18176550000001,-22.969772300000002;09/2004
POSTO HOLIDAY LTDA;-43.09060869999999,-22.839534200000003;10/2004
POSTO IATE CABO FRIO LTDA.;-42.008629199999994,-22.87610370000001;12/2004
POSTO GAROUPA DE NOVA IGUAÇU LTDA;-43.426189,-22.760675200000016;10/2004
POSTO IATE COMBUSTIVEIS E LUBRIFICANTES LTDA;-43.1738104,-22.95217390000001;10/2004
POSTO IGUABA GRANDE LTDA.;-42.21167580000001,-22.84108150000002;02/2011
POSTO ILHA COMÉRCIO DE COMBUSTÍVEIS LTDA.;-41.33615210000001,-21.748805899999997;10/2004
POSTO IMBOASSICA COMERCIO E SERVIÇOS LTDA;-41.774345,-22.377967400000017;10/2004
POSTO IMPERIAL BRACUÍ TDA.;-44.29614980000001,-22.983741599999995;03/2005
POSTO IMPERIAL DA SERRA LTDA.;-43.202184300000006,-22.53403930000002;09/2011
POSTO IMPERIAL DE PETROPOLIS  LTDA;-43.20631159999999,-22.51025710000001;09/2004
POSTO INDEPENDENCIA LTDA;-44.12384990000001,-22.522299800000013;10/2004
POSTO INTERPLANETÁRIO LTDA.;-43.0740602,-22.84325280000001;10/2004
POSTO IPIRANGÃO DE TRÊS RIOS LTDA.;-43.42088270000001,-22.724551899999998;09/2004
POSTO IRMAOS PINHO LTDA;-43.3938428,-22.797887599999996;10/2004
POSTO IRMAOS SMIRDELLE LTDA;-44.5088999,-22.467852200000003;10/2004
POSTO ITAIPAVA LTDA;-43.1337465,-22.398558800000014;10/2004
POSTO ITAJURU DE CABO FRIO LTDA;-42.029281100000006,-22.886288000000018;10/2004
POSTO ITALVA LTDA;-41.6906833,-21.421413800000014;10/2004
POSTO ITALVA LTDA;-41.6914421,-21.420542800000007;10/2004
POSTO JACUECANGA LTDA.;-44.2430172,-22.991668199999996;12/2013
POSTO JACUÍ LTDA.;-43.3501333,-22.8598972;05/2007
POSTO JAGUAR DO RIO DE JANEIRO LTDA.;-43.254405600000005,-22.91924430000002;12/2009
POSTO JAGUARAO LTDA;-43.0005418,-22.1908806;10/2004
POSTO JARDIM CASTRO DAIRE LTDA;-43.08867670000001,-22.879105400000004;09/2004
POSTO JARDIM ITATIAIA LTDA;-44.5088999,-22.467852200000003;10/2004
POSTO JARDIM OCEANICO LTDA;-43.3051223,-23.012138900000018;09/2004
POSTO JARDIM PRIMA VERA LTDA;-44.09654489999999,-22.494675400000016;10/2004
POSTO JK 2000 LTDA;-44.0987705,-22.500794300000017;10/2004
POSTO JOAO PESSOA LTDA;-41.0753133,-21.496903200000002;10/2004
POSTO JOAO PESSOA LTDA;-41.065996600000005,-21.489719600000008;10/2004
POSTO JOIA DOS MOTORISTAS LTDA;-41.8887385,-21.211015099999994;10/2004
POSTO JOSE BAPTISTA LTDA;-41.7827461,-22.383670500000004;10/2004
POSTO JULIO DE CASTILHO LIMITADA;-43.18176550000001,-22.969772300000002;10/2004
POSTO JURUA LTDA;-43.3073442,-22.849320100000007;10/2004
POSTO KM 71 LTDA;-42.91460390000001,-21.995361499999994;10/2004
POSTO L V DE MACAÉ LTDA;-41.7859111,-22.392908399999996;10/2004
POSTO LAGEENSE RJ 127 LTDA;-44.1366693,-22.521397300000007;10/2004
POSTO LAGOMAR DE MACAE LTDA;-41.774204100000006,-22.37808379999999;09/2004
POSTO LAJE DO MURIAÉ LTDA.;-42.1187769,-21.209169800000023;10/2004
POSTO LIDER LTDA;-41.3248677,-21.754176100000006;10/2004
POSTO LINDA DE COMBUSTIVEIS E SERVIÇOS AUTOMOTORES LTDA;-43.2547351,-22.9033826;10/2004
POSTO LINDO PARQUE LTDA;-43.0637646,-22.827288300000014;01/2005
POSTO LITORANEO LTDA;-41.9922543,-22.589172399999995;10/2004
POSTO LOBO JUNIOR LTDA;-43.27701100000001,-22.829325600000008;09/2004
POSTO JARDIM UBA LTDA;-43.06164510000001,-22.937243400000007;10/2004
POSTO KM 13 DA DUTRA LTDA;-43.4341288,-22.754659300000018;10/2004
POSTO LUBRIFICAÇAO MARCIAL LTDA;-43.304220600000015,-22.80784450000001;10/2004
POSTO LUC DE PÁDUA LTDA.;-42.17761519999999,-21.542525299999998;10/2004
POSTO LUCENA JUNIOR DE COMBUSTÍVEIS LTDA.;-41.2967972,-21.794283200000006;01/2005
POSTO LUCKAREM LTDA;-43.04211780000001,-22.821811600000004;01/2012
POSTO MACUCO LTDA;-42.2549921,-21.985964100000015;10/2004
POSTO MAIARJ LTDA.;-43.2312716,-22.649696900000002;12/2011
POSTO MANÉ GARRINCHA DE BOTAFOGO LTDA.;-43.19225600000001,-22.954211200000014;11/2006
POSTO MANGUEIRA LTDA;-41.3184501,-21.762668200000007;09/2004
POSTO MANGUINHOS DE BUZIOS LTDA;-41.938436800000005,-22.7637252;10/2004
POSTO MAR AZUL LTDA;-42.8170459,-22.916221600000007;10/2004
POSTO MAR AZUL RIO DAS OSTRAS LTDA.;-41.9355602,-22.521765300000002;01/2005
POSTO MAR DIAS LTDA-EPP;-44.458729600000005,-22.464512200000016;10/2004
POSTO MARCHETE ITAOCARA LTDA;-42.0792551,-21.67041010000002;10/2004
POSTO MARIA CUMPRIDA LTDA;-43.2623324,-22.42655510000002;10/2004
POSTO MARINA BRACUI LTDA;-44.3454695,-22.915043600000004;10/2004
POSTO MARINA PIRATAS MALL LTDA;-44.29926069999999,-23.014959900000015;09/2004
POSTO MARINA 52 LTDA;-43.75366,-22.700180500000016;10/2004
POSTO MATARIPE LTDA;-44.09461290000001,-22.507767400000006;10/2004
POSTO MEGA EQUADOR LTDA;-43.2080091,-22.899533200000008;09/2004
POSTO MEGA VERAO LTDA;-43.3156344,-23.005780000000012;10/2004
POSTO MERITI I LTDA;-43.3610709,-22.773201400000012;09/2004
POSTO LUBRIFICANTE SOPAO RIO 2004 LTDA;-43.613199,-22.83605170000001;10/2004
POSTO MERITI LTDA;-43.3770785,-22.795067100000015;10/2004
POSTO METANO LTDA;-44.092172500000004,-22.511254100000006;09/2004
POSTO METANO LTDA;-44.265888,-22.4755814;10/2004
POSTO METEORO COMBUSTIVEIS LTDA;-43.0199887,-22.8274909;10/2013
POSTO MINI PRACA LTDA;-43.21699499999999,-22.911304100000002;10/2004
POSTO MINISTER LTDA;-43.629218,-22.916019900000002;10/2004
POSTO MIRANTE DA TAQUARA LTDA;-43.371589600000014,-22.93548900000001;10/2004
POSTO MIS AMORES LTDA;-43.025156200000005,-22.80568320000002;10/2004
POSTO MOBIAL SERVICOS LTDA;-43.4110537,-22.870260400000006;10/2004
POSTO MODELO JMLBG LTDA;-43.192670500000006,-22.950528600000013;10/2004
POSTO MONTE CASTELO DE RESENDE LTDA.;-44.46071520000001,-22.47005290000001;03/2010
POSTO MONTE CRISTO LTDA;-44.186281799999996,-22.54527670000002;10/2004
POSTO MORADA DE BELFORD ROXO LTDA - ME;-43.4020278,-22.762449300000004;11/2014
POSTO MOREIRA CABRAL LTDA.;-41.7749245,-22.376395600000013;01/2005
POSTO MOREIRA CABRAL LTDA.;-41.7813556,-22.380646400000007;07/2007
POSTO MOREIRA CABRAL LTDA.;-41.7742982,-22.386730800000013;05/2012
POSTO MORGADO LTDA;-43.30938580000001,-22.783531400000005;10/2004
POSTO MURUNDU LTDA;-41.3234071,-21.7657593;10/2004
POSTO N S DA ABADIA DE TANGUA LTDA;-42.712358160270796,-22.73200034925169;10/2004
POSTO NAÇÕES UNIDAS LTDA.;-44.177260399999994,-22.5408519;02/2009
POSTO MISSÕES 1 LTDA- ME;-43.44864890000001,-22.71067330000001;05/2014
POSTO NARUM LTDA;-42.361793000000006,-22.883384700000022;09/2004
POSTO NAZÁRIO DE CAMPOS LTDA.;-41.3287759,-21.730238199999995;07/2009
POSTO NEVES LTDA.;-43.089485200000006,-22.839516300000007;10/2004
POSTO NITERÓI 2006 COM. DE DERIV. DE PETRÓLEO LTDA - ME;-44.0900851,-22.500197100000015;10/2006
POSTO NOSSA SENHORA APARECIDA DO BILAC LTDA;-43.3276267,-22.76401;10/2004
POSTO NOSSA SENHORA APARECIDA LTDA;-43.4187413,-22.803887900000014;10/2004
POSTO NOSSA SENHORA DA GLÓRIA COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA - ME;-41.6571697,-22.186009000000002;09/2004
POSTO NOSSA SENHORA DE FÁTIMA DE IBIPEBA LTDA;-43.20457600000001,-22.92684640000001;10/2004
POSTO NOSSA SENHORA DO LIVRAMENTO LTDA.;-42.102345,-21.860291700000015;10/2010
V. S. DISTRIBUIDORA DE GÁS LTDA;-43.57969140000001,-22.97126090000001;01/2010
Lumar de Caxias Transportes e Serviços Ltda;-43.3014107,-22.705012800000006;03/2009
OURO VERDE TRANSPORTE E LOCAÇÃO LTDA;-43.4766513,-22.85688630000001;04/2010
OW BUNKER & TRADING DO BRASIL PETROLEO LTDA;-43.1768968,-22.906059799999998;11/2012
POSTO DE SERVIÇOS FENIX LTDA.;-43.3568708,-22.81933280000001;10/2004
POSTO NOVA ERA DE NATIVIDADE LTDA.;-41.98782390000001,-21.033328700000002;10/2004
POSTO NOVA FREE LTDA;-42.537919800000004,-22.253798100000008;10/2009
POSTO NOVA ITAPERUNA LTDA;-41.9117792,-21.20002040000001;10/2004
POSTO NOVA SANTA IZABEL LTDA;-43.6825195,-22.218098500000007;10/2004
POSTO NOSSA SENHORA DE NAZARETH LTDA;-42.8228389,-22.907639899999996;10/2004
POSTO NITERÓI PNEUS LTDA;-43.1096549,-22.880818200000014;10/2004
POSTO NOVA ESPERANÇA DE NOVA IGUAÇU LTDA;-43.46271930000002,-22.7612891;10/2004
POSTO NOVA VIDA 2001 LTDA.;-43.0051655,-22.838816899999998;09/2004
POSTO NOVO AÇÚ LTDA;-40.9909662,-21.893747800000014;10/2004
POSTO NOVO AMIGO LTDA;-43.360027699999996,-22.730501400000012;10/2004
POSTO NOVO DE GASOLINA CASCADURA LTDA;-43.3268366,-22.882216900000017;10/2004
POSTO OCEANO DE MARICÁ LTDA;-42.805094499999996,-22.911568000000006;10/2004
POSTO OLIVEIRA LTDA;-43.6315222,-22.931887399999997;10/2004
POSTO ORION LTDA;-42.17403920000001,-21.547758200000004;10/2004
POSTO PACHEÇÃO LTDA;-43.0142153,-22.81229930000002;01/2005
POSTO PALACIO GUANABARA LTDA;-43.1839067,-22.935869799999995;10/2004
POSTO PARACAMBI LTDA;-43.69713109999999,-22.602816500000014;10/2004
POSTO PARADA PERSONALIZADA LTDA;-43.19221579999999,-22.646959600000017;09/2006
POSTO PARADA 165 LTDA.;-43.03173540000001,-22.8175978;01/2005
POSTO PARADÃO II DE CAMPOS LTDA;-41.39864060000001,-21.8102743;01/2005
POSTO PARIS DE MESQUITA LTDA;-43.42931829999999,-22.781944900000017;10/2004
POSTO PESSEGUEIROS DE TERESÓPOLIS LTDA - EPP;-42.9756016,-22.416960499999995;10/2004
POSTO PIABETÁ LTDA.;-43.1791146,-22.611347399999993;10/2004
POSTO PIGA 2000 LTDA;-44.185779000000004,-22.536426699999996;10/2004
POSTO PILOTOS LTDA;-44.268388900000005,-22.411965000000002;01/2005
POSTO PINHEIRAL LTDA;-42.24639950000001,-22.858358599999995;10/2004
POSTO NOVO RIO LTDA;-43.10674050000001,-22.874428700000003;10/2004
POSTO O BEM AMADO IGUAÇU LTDA;-43.40944890000001,-22.780700000000017;10/2004
POSTO PINHEIRINHO DE RESENDE LTDA;-44.40688550000001,-22.456814500000014;10/2004
POSTO PIO DUTRA LTDA;-43.1756462,-22.793976700000012;10/2004
POSTO PIONEIRO DO CAPIVARI LTDA.;-43.286019399999994,-22.7757244;04/2011
POSTO PIONEIRO LTDA.;-43.60958910000001,-22.668447999999998;10/2004
POSTO PIRAPITINGA LTDA;-42.99434540000001,-22.810202000000004;10/2004
POSTO PIT STOP DE SAO PEDRO LTDA;-42.10185260000001,-22.836311800000004;10/2004
POSTO PIT STOP DE TERESOPOLIS LTDA;-42.97965510000001,-22.429892400000018;09/2004
POSTO PIT STOP DE TERESOPOLIS LTDA;-42.9805508,-22.428573300000018;10/2004
POSTO PLANETA SATURNO DE COMBUSTÍVEIS LTDA;-43.0002482,-22.814645000000002;01/2005
POSTO PODIUM DE TERESOPOLIS LTDA.;-42.9638363,-22.405187100000006;01/2005
POSTO PONTA D' ÁGUA LTDA;-42.11995000000002,-22.82714700000001;10/2004
POSTO PONTAL LTDA;-41.027048799999996,-21.633946000000005;10/2004
POSTO PONTAL LTDA;-41.0200931,-21.621929800000004;10/2011
POSTO PONTO AZUL LTDA;-43.11751230000001,-22.112398700000014;09/2004
POSTO PORTELÃO LTDA;-43.3470137,-22.863549600000017;10/2004
POSTO POTIGUAR LTDA;-43.5570508,-22.720262200000015;09/2004
POSTO PRAIA DA RIBEIRA LTDA;-43.2912135,-22.849260300000008;10/2004
POSTO PRAIA GRANDE LTDA;-42.03174390000001,-22.965884499999998;10/2004
POSTO PRINCESINHA DO ATLANTICO LTDA;-41.776025,-22.38123010000001;09/2004
POSTO PRINCIPAL LTDA;-43.18511980000002,-22.607847100000015;10/2004
POSTO PRINCIPE LTDA;-41.7772634,-22.375956600000013;10/2004
POSTO PORTAL DA POSSE LTDA.;-43.461641199999995,-22.719200200000003;07/2011
POSTO PROVIDENCIA LTDA;-43.38571999999999,-22.737252400000017;10/2004
POSTO QUALIDADE LIMITADA;-44.13520470000002,-22.5116315;10/2004
POSTO QUILOMETRO TREZE  LTDA;-41.3156314,-21.61288530000001;10/2004
POSTO QUISSAMA LTDA;-41.4696504,-22.103595600000002;10/2004
POSTO RAQUEL LTDA;-42.013682,-21.176522900000002;10/2004
POSTO RAUL VEIGA LTDA;-42.9987672,-22.82241280000001;09/2004
POSTO REGENTE LTDA;-43.196475,-22.52920090000001;10/2004
POSTO REGINAS LTDA.;-43.2265241,-22.884696900000016;11/2005
POSTO RESENDE DE BOM JESUS LTDA;-41.6752028,-21.134266800000017;10/2004
POSTO RESENDE LTDA;-44.451391900000004,-22.467924799999995;10/2004
POSTO RIO DAS OSTRAS LTDA;-41.9436136,-22.52665720000001;10/2004
POSTO RIO DOS MEROS LTDA.;-44.73197220000001,-23.222986700000018;05/2008
POSTO RIO ESTORIL LTDA;-43.5679613,-22.90057380000001;10/2004
POSTO RIO NEGRO DE LEVY GASPARIAN LTDA.;-43.205597600000004,-22.034318500000015;10/2004
POSTO RIO PEÇANHA LTDA;-42.9179913,-22.769021100000014;10/2004
POSTO RIO SAO PAULO LTDA;-43.34449210000002,-22.805328000000017;10/2004
POSTO RODOVIA DO AÇO LTDA;-44.1208826,-22.527973100000022;09/2004
POSTO RONCADOR LTDA.;-43.0466916,-22.659458400000013;10/2004
POSTO RUA TEREZA LTDA;-43.17097530000001,-22.5234377;09/2004
POSTO SÁ LTDA;-43.31862570000002,-22.796180700000015;09/2004
POSTO SALINAS LTDA;-42.1307236,-22.831418600000003;10/2004
POSTO  RESTAURANTE E LANCHONETE FR BRANCO LTDA;-42.8643167,-22.757002500000016;09/2004
POSTO SANJOANENSE LTDA;-41.0482972,-21.63926409999999;10/2004
POSTO SANTA ALICE LTDA.;-43.284882,-22.666437700000007;10/2004
POSTO SANTA AMALIA LTDA;-43.6839675,-22.420233300000007;10/2004
POSTO SANTA CLARA DA PAVUNA II LTDA.;-43.3711364,-22.81049450000002;08/2006
POSTO SANTA CLARA DA PAVUNA LTDA;-43.3742389,-22.8132213;10/2004
POSTO SANTA CLARA DE BARRA MANSA ABAST. DE COMBUST LTDA;-44.17143990000001,-22.578943299999995;09/2004
POSTO SANTA CLARA DE COPACABANA LTDA;-43.18176550000001,-22.969772300000002;10/2004
POSTO SANTA RITA LTDA;-41.3184501,-21.762668200000007;05/2007
POSTO SANTO ANDRE LTDA;-41.268329400000006,-21.832263499999996;09/2004
POSTO SANTO EDUARDO LTDA - ME;-41.30129050000001,-21.799467200000006;10/2004
POSTO SAO CRISTOVAO LTDA;-43.284882,-22.666437700000007;10/2004
POSTO SÃO FRANCISCO DE ASSIS LTDA.;-44.1543901,-22.54181350000002;10/2004
POSTO SÃO JOÃO DE MACAÉ LTDA;-41.77951710000001,-22.3871417;10/2004
POSTO SAO JOAO DOS LAGOS GAS LTDA;-41.9872863,-22.577326800000016;09/2004
POSTO SAO JORGE LTDA;-43.1197909,-22.35084060000001;10/2004
POSTO SAO JOSE DE CAMPOS LTDA;-41.3184501,-21.762668200000007;10/2004
POSTO SAO JOSE LTDA;-44.3134937,-23.004924300000006;10/2004
POSTO SAO JOSE OPERARIO LTDA - EPP;-43.1912421,-22.11793010000002;07/2012
POSTO SAO LUCAS DE CAMPOS LTDA;-41.3245535,-21.722598300000012;10/2004
POSTO SAO SEBASTIAO PADUA LTDA.;-42.183559200000005,-21.5415319;09/2004
POSTO SAO CAETANO LTDA;-43.5234911,-22.741099400000007;09/2004
POSTO SÃO SEBASTIÃO RJ LTDA;-43.2936618,-22.814301000000015;11/2013
POSTO SATURNO LTDA;-42.5333735,-22.275481700000004;10/2004
POSTO SAUDADE BM LTDA;-44.1857869,-22.53188860000001;10/2004
